,season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
78,2007,NBA,Maurice Ager,agerma01,22,DAL,SG,32,1.0,214,5.5,17.5,0.314,1.3,3.8,0.333,4.3,13.8,0.309,0.35,5.0,8.3,0.606,0.3,5.0,5.3,1.8,1.0,0.8,3.8,6.8,17.3,79.0,106.0
79,2008,NBA,Maurice Ager,agerma01,23,2TM,SG,26,3.0,165,6.7,20.8,0.323,1.0,6.1,0.158,5.8,14.7,0.391,0.346,1.9,3.8,0.5,1.3,2.9,4.2,2.6,0.0,0.3,1.9,5.4,16.3,77.0,114.0
80,2009,NBA,Maurice Ager,agerma01,24,NJN,SG,20,0.0,97,8.3,23.7,0.349,0.0,3.3,0.0,8.3,20.4,0.405,0.349,2.2,4.4,0.5,1.7,3.9,5.5,1.7,0.6,1.1,2.2,9.4,18.7,77.0,115.0
81,2011,NBA,Maurice Ager,agerma01,26,MIN,SG,4,0.0,29,10.3,18.9,0.545,5.1,6.9,0.75,5.1,12.0,0.429,0.682,0.0,0.0,,0.0,3.4,3.4,1.7,1.7,0.0,6.9,6.9,25.7,94.0,114.0
82,2008,NBA,Blake Ahearn,ahearbl01,23,MIA,PG,12,0.0,177,4.5,17.1,0.263,3.0,10.2,0.294,1.5,6.9,0.217,0.351,9.0,9.3,0.968,0.3,5.4,5.7,5.7,1.8,0.0,4.8,6.0,21.0,94.0,111.0
83,2009,NBA,Blake Ahearn,ahearbl01,24,SAS,PG,3,0.0,19,5.7,17.1,0.333,5.7,11.4,0.5,0.0,5.7,0.0,0.5,5.7,5.7,1.0,0.0,2.9,2.9,5.7,2.9,0.0,2.9,8.6,22.9,113.0,104.0
84,2012,NBA,Blake Ahearn,ahearbl01,27,UTA,PG,4,0.0,30,7.0,24.5,0.286,3.5,15.7,0.222,3.5,8.7,0.4,0.357,0.0,0.0,,0.0,3.5,3.5,1.7,0.0,0.0,8.7,7.0,17.5,57.0,113.0
85,2009,NBA,Alexis Ajinça,ajincal01,20,CHA,PF,31,4.0,182,7.5,20.6,0.362,0.0,0.6,0.0,7.5,20.0,0.373,0.362,6.0,8.4,0.714,2.7,6.3,9.0,0.9,2.1,1.8,3.6,10.2,20.9,86.0,104.0
86,2010,NBA,Alexis Ajinça,ajincal01,21,CHA,C,6,0.0,30,8.9,17.7,0.5,0.0,0.0,,8.9,17.7,0.5,0.5,0.0,1.8,0.0,1.8,5.3,7.1,0.0,1.8,1.8,3.5,8.9,17.7,81.0,103.0
87,2011,NBA,Alexis Ajinça,ajincal01,22,2TM,C,34,2.0,340,9.0,20.3,0.444,1.8,5.2,0.353,7.2,15.1,0.475,0.489,2.0,2.7,0.722,2.6,9.3,11.9,1.5,1.7,2.9,2.7,11.1,21.8,98.0,107.0
88,2014,NBA,Alexis Ajinça,ajincal01,25,NOP,C,56,30.0,951,7.4,13.6,0.546,0.0,0.1,0.0,7.4,13.6,0.548,0.546,3.1,3.7,0.836,5.1,10.0,15.2,2.2,1.3,2.5,3.4,10.2,18.0,110.0,107.0
89,2015,NBA,Alexis Ajinça,ajincal01,26,NOP,C,68,8.0,957,9.9,18.1,0.55,0.0,0.0,,9.9,18.1,0.55,0.55,4.4,5.4,0.818,5.7,11.6,17.3,2.6,1.2,2.8,3.8,8.3,24.3,113.0,103.0
90,2016,NBA,Alexis Ajinça,ajincal01,27,NOP,C,59,17.0,861,8.6,18.1,0.476,0.0,0.1,0.0,8.6,18.1,0.478,0.476,3.0,3.6,0.839,4.3,11.2,15.5,1.8,1.1,2.1,3.1,7.7,20.3,100.0,107.0
91,2017,NBA,Alexis Ajinça,ajincal01,28,NOP,C,39,15.0,584,7.5,14.9,0.5,0.0,0.3,0.0,7.5,14.6,0.511,0.5,2.4,3.4,0.725,3.9,11.0,14.8,1.0,1.7,1.8,2.6,6.5,17.4,101.0,104.0
92,2013,NBA,Josh Akognon,akognjo01,26,DAL,PG,3,0.0,9,11.3,22.7,0.5,5.7,11.3,0.5,5.7,11.3,0.5,0.625,0.0,0.0,,0.0,5.7,5.7,5.7,0.0,0.0,0.0,17.0,28.4,130.0,111.0
93,2019,NBA,DeVaughn Akoon-Purcell,akoonde01,25,DEN,SG,7,0.0,22,6.7,22.3,0.3,0.0,8.9,0.0,6.7,13.4,0.5,0.3,2.2,4.5,0.5,2.2,6.7,8.9,13.4,4.5,0.0,4.5,8.9,15.6,84.0,104.0
