season,team,g,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,lg,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,era,cluster,cluster_label,team_full,user_id
2024,Miami Heat,82,19755,41.2,88.7,0.465,12.9,34.9,0.37,28.3,53.8,0.527,18.7,22.8,0.818,9.7,34.1,43.8,26.7,7.8,3.5,13.1,17.9,114.0,NBA,1.76,-0.66,1.1,114.0,112.2,1.8,96.2,0.257,0.394,0.578,0.538,11.7,21.8,0.21,0.543,12.7,78.1,0.174,2016-present,0,Playoff Team,Miami Heat,Miami Heat_2024
2024,Milwaukee Bucks,82,19805,42.9,88.1,0.487,14.1,37.9,0.373,28.8,50.2,0.574,18.4,23.8,0.774,9.4,34.6,43.9,26.4,6.8,5.0,12.8,19.1,118.4,NBA,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,0.568,11.5,21.8,0.209,0.539,10.6,77.2,0.189,2016-present,1,Pace & Space,Milwaukee Bucks,Milwaukee Bucks_2024
2024,Minnesota Timberwolves,82,19805,42.2,87.0,0.485,12.9,33.5,0.387,29.3,53.6,0.546,18.2,23.5,0.777,9.6,35.0,44.6,27.3,8.1,6.2,14.5,19.3,115.6,NBA,6.45,-0.07,6.39,115.6,109.0,6.6,97.1,0.27,0.384,0.594,0.559,13.0,23.2,0.209,0.515,12.9,76.9,0.197,2016-present,1,Pace & Space,Minnesota Timberwolves,Minnesota Timberwolves_2024
2024,New Orleans Pelicans,82,19705,43.3,89.1,0.486,12.7,33.3,0.383,30.6,55.9,0.548,18.0,23.3,0.771,10.6,34.2,44.8,27.5,8.5,4.7,13.3,18.8,117.4,NBA,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,0.558,11.8,24.4,0.202,0.541,12.9,76.9,0.186,2016-present,1,Pace & Space,New Orleans Pelicans,New Orleans Pelicans_2024
2024,New York Knicks,82,19730,43.3,92.9,0.465,13.8,37.5,0.369,29.4,55.4,0.531,17.8,22.9,0.78,13.3,34.1,47.3,25.5,7.8,4.3,13.9,18.5,118.2,NBA,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176,2016-present,3,Fast & Flawed D,New York Knicks,New York Knicks_2024
2024,Oklahoma City Thunder,82,19805,44.3,88.9,0.499,13.2,34.0,0.389,31.1,54.9,0.567,17.6,21.4,0.825,8.8,33.1,41.8,27.0,8.4,6.5,12.6,18.8,119.5,NBA,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,0.573,11.4,21.1,0.198,0.53,13.6,73.8,0.202,2016-present,1,Pace & Space,Oklahoma City Thunder,Oklahoma City Thunder_2024
2024,Orlando Magic,82,19780,41.5,87.2,0.476,11.3,32.1,0.352,30.2,55.0,0.549,19.0,25.1,0.759,10.8,32.6,43.4,25.3,8.4,5.3,15.1,20.3,113.4,NBA,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,0.541,13.3,25.3,0.218,0.543,13.8,78.1,0.206,2016-present,0,Playoff Team,Orlando Magic,Orlando Magic_2024
2024,Philadelphia 76ers,82,19780,42.3,91.2,0.464,12.3,34.0,0.363,30.0,57.2,0.525,19.9,24.1,0.826,11.3,32.5,43.8,25.4,8.6,6.1,12.2,20.7,116.9,NBA,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,0.532,10.7,24.8,0.218,0.537,13.1,74.3,0.215,2016-present,3,Fast & Flawed D,Philadelphia 76ers,Philadelphia 76ers_2024
2024,Phoenix Suns,82,19780,43.0,87.2,0.493,12.6,33.0,0.382,30.4,54.2,0.561,19.1,23.6,0.808,10.3,34.3,44.6,27.4,7.5,6.1,15.1,18.2,117.6,NBA,3.06,0.02,3.08,117.6,114.6,3.0,98.3,0.271,0.378,0.603,0.565,13.4,25.0,0.219,0.536,11.3,75.6,0.178,2016-present,1,Pace & Space,Phoenix Suns,Phoenix Suns_2024
2024,Portland Trail Blazers,82,19880,40.1,91.3,0.439,11.7,33.8,0.345,28.4,57.5,0.494,16.5,20.9,0.791,12.9,30.7,43.5,23.5,7.8,4.4,15.5,20.5,108.3,NBA,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,0.503,13.4,27.5,0.181,0.558,12.8,74.0,0.216,2016-present,2,Rebuilder,Portland Trail Blazers,Portland Trail Blazers_2024
