season,lg,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
2006,NBA,Randy Livingston,livinra01,30.0,CHI,PG,5,0.0,22.0,-3.0,0.0,0.0,0.0,5.2,15.6,10.4,6.0,2.3,0.0,33.3,6.2,-0.1,0.0,0.0,-0.045,-11.9,3.3,-8.6,0.0
2007,NBA,Randy Livingston,livinra01,31.0,SEA,PG,4,0.0,26.0,-1.2,0.0,0.0,0.0,4.6,0.0,2.3,20.0,0.0,0.0,25.0,7.0,-0.1,0.0,-0.1,-0.116,-6.1,-4.1,-10.2,-0.1
2005,NBA,Shaun Livingston,livinsh01,19.0,LAC,PG,30,15.0,814.0,10.4,0.461,0.009,0.274,3.3,9.6,6.6,29.9,2.1,1.0,23.7,18.0,-0.6,0.7,0.1,0.008,-2.3,-0.2,-2.5,-0.1
2006,NBA,Shaun Livingston,livinsh01,20.0,LAC,PG,61,14.0,1525.0,10.2,0.46,0.023,0.221,3.3,10.4,7.0,27.2,1.6,1.6,22.5,15.0,-0.5,1.8,1.3,0.041,-2.6,0.7,-1.9,0.1
2007,NBA,Shaun Livingston,livinsh01,21.0,LAC,PG,54,31.0,1611.0,13.7,0.503,0.036,0.258,4.2,9.4,6.8,28.3,1.9,1.4,17.8,17.4,0.9,1.6,2.4,0.072,-0.4,0.4,0.0,0.8
2009,NBA,Shaun Livingston,livinsh01,23.0,2TM,PG,12,1.0,231.0,12.1,0.551,0.0,0.167,1.5,12.7,7.0,13.9,1.6,0.6,12.3,14.2,0.2,0.2,0.4,0.074,-2.8,0.3,-2.5,0.0
2010,NBA,Shaun Livingston,livinsh01,24.0,2TM,PG,36,18.0,796.0,12.8,0.563,0.03,0.239,2.3,9.0,5.6,26.3,1.1,1.1,20.7,15.9,0.7,0.5,1.2,0.07,-1.1,-0.4,-1.4,0.1
2011,NBA,Shaun Livingston,livinsh01,25.0,CHA,PG,73,0.0,1261.0,14.3,0.53,0.01,0.315,2.8,11.6,7.2,22.5,2.0,1.9,16.3,20.1,0.7,1.2,1.9,0.073,-1.0,1.0,0.0,0.7
2012,NBA,Shaun Livingston,livinsh01,26.0,MIL,SG,58,27.0,1092.0,11.0,0.52,0.011,0.292,3.8,8.7,6.2,16.6,1.3,1.4,17.8,15.0,0.7,0.6,1.3,0.055,-1.5,0.2,-1.3,0.2
2013,NBA,Shaun Livingston,livinsh01,27.0,2TM,PG,66,16.0,1455.0,13.0,0.536,0.012,0.283,2.4,10.4,6.2,23.2,1.7,1.7,16.3,14.3,1.7,0.9,2.6,0.086,-1.5,0.4,-1.0,0.4
2014,NBA,Shaun Livingston,livinsh01,28.0,BRK,PG,76,54.0,1974.0,14.5,0.551,0.012,0.392,4.1,10.8,7.5,20.1,2.5,1.3,15.5,16.1,2.6,1.8,4.4,0.108,-0.6,1.1,0.4,1.2
2015,NBA,Shaun Livingston,livinsh01,29.0,GSW,PG,78,2.0,1468.0,12.9,0.529,0.005,0.23,3.3,10.0,6.7,24.2,1.6,1.0,19.0,15.9,1.5,1.8,3.3,0.107,-1.4,0.6,-0.8,0.4
2016,NBA,Shaun Livingston,livinsh01,30.0,GSW,PG,78,3.0,1520.0,13.8,0.581,0.032,0.245,3.2,8.5,6.0,21.0,1.8,1.3,15.7,14.2,2.9,1.7,4.6,0.145,-0.7,1.1,0.3,0.9
2017,NBA,Shaun Livingston,livinsh01,31.0,GSW,PG,76,3.0,1345.0,10.1,0.568,0.009,0.19,2.4,9.4,6.2,13.5,1.4,1.2,15.3,13.0,1.1,1.6,2.6,0.093,-3.0,0.5,-2.5,-0.2
2018,NBA,Shaun Livingston,livinsh01,32.0,GSW,PG,71,7.0,1129.0,11.6,0.533,0.015,0.178,3.4,9.2,6.5,16.8,1.5,1.5,13.6,16.7,0.9,0.9,1.8,0.077,-2.8,-0.4,-3.1,-0.3
2019,NBA,Shaun Livingston,livinsh01,33.0,GSW,PG,64,0.0,967.0,11.7,0.555,0.01,0.243,4.9,7.9,6.5,14.8,1.5,2.3,14.1,12.0,1.2,0.9,2.0,0.101,-1.7,0.7,-1.0,0.2
2023,NBA,Kenneth Lofton Jr.,loftoke01,20.0,MEM,PF,24,1.0,176.0,20.2,0.572,0.183,0.29,11.5,19.2,15.4,18.1,1.3,1.0,10.3,27.6,0.3,0.2,0.5,0.145,0.7,-1.1,-0.4,0.1
2024,NBA,Kenneth Lofton Jr.,loftoke01,21.0,3TM,PF,21,0.0,199.0,14.7,0.537,0.308,0.333,6.6,14.6,10.5,25.7,1.5,2.3,13.5,22.1,0.1,0.2,0.3,0.068,-0.6,0.3,-0.3,0.1
2019,NBA,Zach Lofton,loftoza01,26.0,DET,SG,1,0.0,4.0,-10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,50.0,21.6,-0.1,0.0,0.0,-0.447,-17.4,6.0,-11.5,0.0
2017,NBA,Shawn Long,longsh01,24.0,PHI,C,18,0.0,234.0,24.1,0.595,0.174,0.321,19.3,20.8,20.0,10.7,1.9,3.1,9.5,25.4,0.6,0.3,0.9,0.195,2.3,-1.1,1.2,0.2
2016,NBA,Kevon Looney,looneke01,19.0,GSW,PF,5,0.0,21.0,18.6,0.643,0.286,0.0,21.8,29.1,25.6,0.0,0.0,0.0,12.5,16.5,0.1,0.0,0.1,0.192,1.6,-4.1,-2.5,0.0
2017,NBA,Kevon Looney,looneke01,20.0,GSW,C,53,4.0,447.0,13.6,0.553,0.084,0.318,11.5,18.5,15.2,8.5,1.6,3.0,12.2,13.4,0.7,0.8,1.4,0.155,-2.4,0.7,-1.7,0.0
2018,NBA,Kevon Looney,looneke01,21.0,GSW,C,66,4.0,910.0,14.8,0.588,0.026,0.399,11.0,15.2,13.2,6.0,1.8,4.9,12.0,12.5,1.5,1.3,2.8,0.145,-1.2,1.0,-0.2,0.4
2019,NBA,Kevon Looney,looneke01,22.0,GSW,C,80,24.0,1481.0,17.3,0.636,0.029,0.303,14.6,15.4,15.0,10.9,1.5,3.0,11.5,12.8,4.2,1.8,6.0,0.194,0.1,0.4,0.5,0.9
2020,NBA,Kevon Looney,looneke01,23.0,GSW,C,20,4.0,262.0,9.4,0.403,0.177,0.152,11.2,16.3,13.6,11.1,2.2,2.1,12.5,15.7,-0.2,0.2,0.0,0.006,-4.8,-0.8,-5.6,-0.2
2021,NBA,Kevon Looney,looneke01,24.0,GSW,C,61,34.0,1161.0,11.9,0.575,0.086,0.244,10.9,18.6,14.8,13.4,0.8,1.7,14.5,9.4,2.0,1.4,3.4,0.139,-1.8,1.0,-0.9,0.3
2022,NBA,Kevon Looney,looneke01,25.0,GSW,C,82,80.0,1732.0,15.7,0.586,0.003,0.343,13.5,23.8,18.8,13.2,1.4,2.9,13.8,12.2,3.5,3.2,6.8,0.187,-0.9,1.7,0.9,1.3
2023,NBA,Kevon Looney,looneke01,26.0,GSW,C,82,70.0,1958.0,17.8,0.639,0.003,0.404,15.7,26.8,21.4,13.8,1.3,2.2,9.1,10.6,5.9,2.8,8.7,0.212,0.9,1.3,2.1,2.0
2024,NBA,Kevon Looney,looneke01,27.0,GSW,C,74,36.0,1195.0,15.1,0.62,0.004,0.356,13.1,24.6,18.9,14.1,1.1,2.2,15.6,11.3,2.5,1.6,4.0,0.162,-0.8,1.4,0.6,0.8
2025,NBA,Kevon Looney,looneke01,28.0,GSW,C,76,6.0,1142.0,17.0,0.535,0.018,0.356,16.9,26.9,21.8,14.3,2.0,3.1,10.8,13.3,2.2,2.1,4.3,0.182,-1.0,1.3,0.3,0.7
2009,NBA,Brook Lopez,lopezbr01,20.0,NJN,C,82,75.0,2501.0,17.9,0.568,0.002,0.257,10.6,21.2,15.8,6.2,0.9,4.9,13.5,20.3,3.2,2.7,5.8,0.112,-0.3,-0.3,-0.6,0.9
2010,NBA,Brook Lopez,lopezbr01,21.0,NJN,C,82,82.0,3027.0,20.1,0.57,0.002,0.451,9.9,17.5,13.5,11.8,1.0,3.4,13.1,23.6,5.5,2.4,7.9,0.125,1.6,-0.5,1.2,2.5
2011,NBA,Brook Lopez,lopezbr01,22.0,NJN,C,82,82.0,2889.0,19.3,0.549,0.001,0.374,7.8,12.3,10.0,8.8,0.9,3.2,10.4,27.3,4.4,1.9,6.3,0.105,1.4,-0.9,0.6,1.9
2012,NBA,Brook Lopez,lopezbr01,23.0,NJN,C,5,5.0,136.0,21.9,0.527,0.0,0.416,6.6,8.8,7.7,10.2,0.4,2.3,6.2,32.7,0.3,0.0,0.3,0.091,3.4,-2.8,0.6,0.1
2013,NBA,Brook Lopez,lopezbr01,24.0,BRK,C,74,74.0,2253.0,24.7,0.567,0.001,0.358,10.8,16.1,13.4,6.4,0.8,5.2,9.4,28.6,6.4,2.6,9.0,0.191,3.4,-0.2,3.2,3.0
2014,NBA,Brook Lopez,lopezbr01,25.0,BRK,C,17,17.0,533.0,25.4,0.629,0.004,0.502,8.8,14.1,11.5,6.1,0.9,4.8,9.1,27.1,1.9,0.5,2.3,0.211,4.0,-0.3,3.7,0.8
2015,NBA,Brook Lopez,lopezbr01,26.0,BRK,C,72,44.0,2100.0,22.7,0.558,0.01,0.278,11.5,17.1,14.3,4.5,1.1,4.8,8.6,26.3,4.7,2.2,7.0,0.159,1.8,-0.7,1.2,1.6
2016,NBA,Brook Lopez,lopezbr01,27.0,BRK,C,73,73.0,2457.0,21.7,0.562,0.012,0.348,9.2,17.2,13.1,10.8,1.2,4.1,11.6,27.3,4.5,1.7,6.2,0.121,1.9,-0.5,1.3,2.1
2017,NBA,Brook Lopez,lopezbr01,28.0,BRK,C,75,75.0,2222.0,20.4,0.578,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,4.9,0.105,2.9,-0.6,2.3,2.4
2018,NBA,Brook Lopez,lopezbr01,29.0,LAL,C,74,72.0,1735.0,16.5,0.557,0.41,0.199,4.6,13.4,9.0,11.6,0.8,4.6,10.2,23.5,1.9,1.9,3.8,0.105,0.7,0.2,0.9,1.3
2019,NBA,Brook Lopez,lopezbr01,30.0,MIL,C,81,81.0,2322.0,14.6,0.597,0.651,0.169,1.5,15.0,8.7,5.7,1.0,6.5,8.9,16.7,2.3,4.3,6.7,0.138,0.4,1.8,2.2,2.4
2020,NBA,Brook Lopez,lopezbr01,31.0,MIL,C,68,67.0,1817.0,15.0,0.551,0.484,0.227,3.4,13.0,8.5,7.4,1.2,7.9,8.7,18.3,1.4,4.1,5.5,0.145,-0.4,2.5,2.0,1.9
2021,NBA,Brook Lopez,lopezbr01,32.0,MIL,C,70,70.0,1902.0,15.4,0.611,0.439,0.222,6.0,13.0,9.6,3.5,1.0,4.8,8.3,16.9,3.1,2.2,5.3,0.133,0.0,0.0,0.0,0.9
2022,NBA,Brook Lopez,lopezbr01,33.0,MIL,C,13,11.0,298.0,16.0,0.57,0.405,0.176,6.9,11.9,9.4,3.0,1.3,4.8,7.8,21.9,0.3,0.3,0.7,0.108,-0.7,-0.7,-1.3,0.1
2023,NBA,Brook Lopez,lopezbr01,34.0,MIL,C,78,78.0,2373.0,18.4,0.63,0.405,0.211,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,4.1,3.9,8.0,0.161,0.8,1.3,2.1,2.5
2024,NBA,Brook Lopez,lopezbr01,35.0,MIL,C,79,79.0,2411.0,14.8,0.608,0.535,0.177,5.4,13.0,9.3,7.1,0.9,6.7,8.8,16.0,3.1,2.8,5.9,0.117,0.2,0.8,1.0,1.8
2025,NBA,Brook Lopez,lopezbr01,36.0,MIL,C,80,80.0,2546.0,14.8,0.624,0.482,0.178,5.0,11.8,8.6,7.8,0.9,5.4,9.1,15.8,3.6,2.9,6.6,0.124,0.4,0.4,0.8,1.8
2004,NBA,Raül López,lopezra01,23.0,UTA,PG,82,11.0,1617.0,12.0,0.503,0.164,0.226,1.8,10.2,5.9,34.8,2.1,0.1,23.4,21.4,0.1,1.2,1.4,0.041,-1.7,-1.0,-2.8,-0.3
2005,NBA,Raül López,lopezra01,24.0,UTA,PG,31,15.0,518.0,12.9,0.538,0.333,0.244,1.6,7.9,4.7,39.3,2.3,0.5,23.9,17.5,0.4,0.3,0.7,0.066,-0.6,-0.8,-1.4,0.1
2009,NBA,Robin Lopez,lopezro01,20.0,PHO,C,60,7.0,614.0,11.6,0.566,0.007,0.496,10.3,12.1,11.2,1.8,0.9,4.9,14.4,14.0,0.6,0.4,1.1,0.083,-3.1,-0.3,-3.4,-0.2
2010,NBA,Robin Lopez,lopezro01,21.0,PHO,C,51,31.0,986.0,17.6,0.621,0.0,0.43,12.6,15.6,14.2,1.1,0.5,3.8,10.6,17.3,2.5,0.8,3.2,0.158,0.3,-0.9,-0.6,0.4
2011,NBA,Robin Lopez,lopezro01,22.0,PHO,C,67,56.0,991.0,13.9,0.539,0.0,0.28,9.5,15.6,12.6,1.3,0.9,3.4,10.7,20.4,0.8,0.8,1.5,0.074,-3.1,-1.0,-4.1,-0.5
2012,NBA,Robin Lopez,lopezro01,23.0,PHO,C,64,0.0,895.0,15.2,0.526,0.0,0.52,11.5,14.8,13.2,3.4,1.0,4.8,11.5,18.9,1.2,0.9,2.1,0.115,-2.2,0.0,-2.2,0.0
2013,NBA,Robin Lopez,lopezro01,24.0,NOH,C,82,82.0,2136.0,18.9,0.573,0.0,0.288,12.4,13.4,12.9,5.3,0.8,5.0,12.0,20.0,4.4,1.2,5.6,0.126,1.3,-0.7,0.6,1.4
2014,NBA,Robin Lopez,lopezro01,25.0,POR,C,82,82.0,2603.0,17.7,0.605,0.002,0.376,13.6,15.3,14.5,4.2,0.5,3.7,10.1,14.0,7.0,2.6,9.5,0.176,1.2,-0.1,1.2,2.1
2015,NBA,Robin Lopez,lopezro01,26.0,POR,C,59,59.0,1638.0,16.2,0.574,0.002,0.291,12.7,13.1,12.9,5.1,0.5,3.7,12.9,15.5,3.2,1.9,5.1,0.15,0.1,0.1,0.1,0.9
2016,NBA,Robin Lopez,lopezro01,27.0,NYK,C,82,82.0,2219.0,17.6,0.574,0.002,0.243,13.4,16.2,14.8,8.5,0.4,4.4,15.4,17.7,3.7,2.1,5.8,0.126,0.4,-0.5,-0.2,1.0
2017,NBA,Robin Lopez,lopezro01,28.0,CHI,C,81,81.0,2271.0,14.4,0.511,0.003,0.134,11.5,13.2,12.3,5.6,0.4,4.1,10.0,17.5,1.8,2.4,4.3,0.09,-1.4,-0.8,-2.2,-0.1
2018,NBA,Robin Lopez,lopezro01,29.0,CHI,C,64,64.0,1690.0,14.7,0.552,0.022,0.14,8.2,10.3,9.2,12.3,0.4,2.8,13.5,20.4,1.2,0.7,1.9,0.055,-0.9,-1.3,-2.2,-0.1
2019,NBA,Robin Lopez,lopezro01,30.0,CHI,C,74,36.0,1606.0,15.9,0.598,0.058,0.23,9.4,10.0,9.7,8.8,0.3,4.2,14.0,18.6,2.0,0.7,2.7,0.081,-0.6,-1.4,-1.9,0.0
2020,NBA,Robin Lopez,lopezro01,31.0,MIL,C,66,5.0,958.0,10.2,0.554,0.351,0.177,6.2,10.2,8.3,6.3,0.5,4.1,16.4,16.6,-0.1,1.6,1.5,0.077,-3.0,0.4,-2.6,-0.2
2021,NBA,Robin Lopez,lopezro01,32.0,WAS,C,71,9.0,1354.0,16.7,0.661,0.042,0.322,11.1,10.2,10.6,5.9,0.5,2.7,13.4,17.1,2.8,0.9,3.7,0.131,0.2,-1.2,-1.0,0.4
2022,NBA,Robin Lopez,lopezro01,33.0,ORL,C,36,9.0,612.0,13.7,0.57,0.03,0.271,11.7,10.0,10.9,14.4,0.2,2.7,16.5,18.9,0.5,0.3,0.8,0.064,-2.4,-1.4,-3.8,-0.3
2023,NBA,Robin Lopez,lopezro01,34.0,CLE,C,37,2.0,299.0,11.6,0.675,0.053,0.24,9.1,11.0,10.0,9.1,0.3,2.5,23.2,16.1,0.2,0.3,0.6,0.094,-3.4,0.3,-3.0,-0.1
2024,NBA,Robin Lopez,lopezro01,35.0,MIL,C,16,2.0,65.0,6.6,0.453,0.421,0.105,5.2,3.3,4.2,7.8,0.7,3.9,9.1,14.5,0.0,0.0,0.0,0.007,-4.7,-1.4,-6.1,-0.1
2021,NBA,Didi Louzada,louzama01,21.0,NOP,SF,3,0.0,56.0,-0.9,0.308,0.615,0.0,1.9,3.9,2.9,6.5,1.7,0.0,18.8,12.0,-0.1,0.0,-0.1,-0.099,-7.8,-1.8,-9.6,-0.1
2022,NBA,Didi Louzada,louzama01,22.0,2TM,SF,9,1.0,129.0,6.4,0.517,0.697,0.061,4.1,10.6,7.2,5.3,0.8,1.5,12.9,13.0,0.0,0.0,0.0,-0.005,-4.1,-3.4,-7.5,-0.2
2009,NBA,Kevin Love,loveke01,20.0,MIN,C,81,37.0,2048.0,18.3,0.538,0.028,0.488,15.1,27.3,21.0,6.8,0.9,1.9,12.4,21.0,3.4,1.9,5.3,0.124,0.4,-1.6,-1.1,0.4
2010,NBA,Kevin Love,loveke01,21.0,MIN,PF,60,22.0,1714.0,20.7,0.549,0.164,0.427,14.5,28.6,21.5,12.9,1.3,1.0,13.2,22.4,3.4,1.5,4.9,0.138,2.7,-1.2,1.5,1.5
2011,NBA,Kevin Love,loveke01,22.0,MIN,PF,73,73.0,2611.0,24.3,0.593,0.206,0.486,13.7,34.2,23.6,11.8,0.9,0.8,11.1,22.9,8.9,2.5,11.4,0.21,5.7,-1.3,4.4,4.2
2012,NBA,Kevin Love,loveke01,23.0,MIN,PF,55,55.0,2145.0,25.4,0.568,0.266,0.434,11.6,26.4,19.0,10.0,1.1,0.9,9.2,28.8,7.6,2.3,10.0,0.223,6.1,-0.9,5.2,3.9
2013,NBA,Kevin Love,loveke01,24.0,MIN,PF,18,18.0,618.0,17.9,0.458,0.309,0.477,11.5,35.9,23.3,11.8,1.1,1.1,9.8,28.9,0.1,0.9,1.1,0.084,1.4,-1.0,0.4,0.4
2014,NBA,Kevin Love,loveke01,25.0,MIN,PF,77,77.0,2797.0,26.9,0.591,0.355,0.445,8.5,29.5,18.7,21.4,1.0,1.0,10.3,28.8,10.6,3.7,14.3,0.245,8.3,0.6,8.9,7.7
2015,NBA,Kevin Love,loveke01,26.0,CLE,PF,75,75.0,2532.0,18.8,0.562,0.412,0.337,6.5,26.3,16.6,10.7,1.0,1.2,10.0,21.7,5.8,2.9,8.7,0.165,3.2,-0.4,2.7,3.0
2016,NBA,Kevin Love,loveke01,27.0,CLE,PF,77,77.0,2424.0,19.0,0.553,0.449,0.321,7.0,28.4,17.8,12.2,1.2,1.4,11.3,23.4,4.7,3.8,8.5,0.169,3.0,0.3,3.3,3.3
2017,NBA,Kevin Love,loveke01,28.0,CLE,PF,60,60.0,1885.0,21.1,0.573,0.449,0.34,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,4.0,2.4,6.4,0.163,3.3,-1.2,2.1,1.9
2018,NBA,Kevin Love,loveke01,29.0,CLE,C,59,59.0,1651.0,22.4,0.614,0.453,0.365,7.0,29.8,18.6,9.8,1.3,1.2,9.6,25.1,4.7,1.6,6.4,0.185,4.5,-1.3,3.3,2.2
2019,NBA,Kevin Love,loveke01,30.0,CLE,PF,22,21.0,598.0,19.5,0.561,0.519,0.403,5.9,40.0,22.2,12.8,0.5,0.7,11.2,27.4,1.0,0.4,1.3,0.106,3.3,-1.6,1.6,0.6
2020,NBA,Kevin Love,loveke01,31.0,CLE,PF,56,56.0,1780.0,17.9,0.599,0.536,0.301,3.3,31.1,17.1,15.4,0.9,0.9,14.5,23.1,2.5,1.3,3.8,0.101,2.6,-0.5,2.0,1.8
2021,NBA,Kevin Love,loveke01,32.0,CLE,PF,25,25.0,622.0,15.1,0.556,0.619,0.202,3.0,31.2,16.7,16.0,1.3,0.3,12.2,21.9,0.3,0.6,0.9,0.073,0.9,-0.9,-0.1,0.3
2022,NBA,Kevin Love,loveke01,33.0,CLE,C,74,4.0,1665.0,19.6,0.594,0.627,0.26,5.9,29.2,17.8,15.3,0.8,1.0,10.4,25.1,3.2,2.5,5.7,0.164,4.4,0.1,4.5,2.7
2023,NBA,Kevin Love,loveke01,34.0,2TM,PF,62,20.0,1240.0,13.1,0.548,0.698,0.215,5.5,32.6,18.9,13.2,0.6,0.9,13.1,19.2,0.6,2.0,2.6,0.099,0.2,0.4,0.6,0.8
2024,NBA,Kevin Love,loveke01,35.0,MIA,PF,55,5.0,924.0,18.5,0.597,0.68,0.301,7.2,34.5,20.7,19.0,1.0,1.1,10.6,21.9,1.7,1.6,3.3,0.17,2.7,1.0,3.6,1.3
2025,NBA,Kevin Love,loveke01,36.0,MIA,PF,23,9.0,251.0,16.2,0.488,0.583,0.2,9.8,31.4,20.7,13.1,3.0,1.5,10.1,24.6,-0.1,0.5,0.4,0.083,-0.3,0.7,0.4,0.2
2007,NBA,Kyle Lowry,lowryky01,20.0,MEM,PG,10,0.0,175.0,18.3,0.556,0.211,0.737,8.2,13.0,10.6,27.3,4.1,0.4,19.3,16.1,0.4,0.2,0.5,0.148,1.1,3.5,4.7,0.3
2008,NBA,Kyle Lowry,lowryky01,21.0,MEM,PG,82,9.0,2089.0,14.3,0.531,0.236,0.588,2.2,11.3,6.7,21.8,2.2,0.8,14.6,18.6,2.1,1.3,3.4,0.078,-1.2,0.3,-0.9,0.6
2009,NBA,Kyle Lowry,lowryky01,22.0,2TM,PG,77,21.0,1679.0,14.4,0.547,0.226,0.521,1.9,11.6,6.8,26.4,2.2,0.8,18.0,18.1,1.8,1.8,3.6,0.103,-0.7,0.8,0.2,0.9
2010,NBA,Kyle Lowry,lowryky01,23.0,HOU,PG,68,0.0,1651.0,15.5,0.536,0.293,0.56,6.1,11.2,8.6,27.7,1.9,0.4,16.7,18.6,2.9,1.4,4.3,0.126,0.4,0.4,0.8,1.2
2011,NBA,Kyle Lowry,lowryky01,24.0,HOU,PG,75,71.0,2563.0,16.5,0.55,0.424,0.31,3.9,9.7,6.8,29.4,2.0,0.6,14.7,18.6,5.1,1.8,7.0,0.13,2.0,0.0,2.0,2.6
2012,NBA,Kyle Lowry,lowryky01,25.0,HOU,PG,47,38.0,1510.0,18.8,0.558,0.411,0.386,2.8,13.7,8.2,32.3,2.5,0.7,17.8,22.0,3.3,1.6,4.9,0.156,2.8,1.2,4.1,2.3
2013,NBA,Kyle Lowry,lowryky01,26.0,TOR,PG,68,52.0,2020.0,17.5,0.543,0.448,0.384,3.2,15.9,9.5,34.6,2.5,1.0,17.7,20.3,3.5,2.1,5.6,0.133,2.0,0.9,2.9,2.5
2014,NBA,Kyle Lowry,lowryky01,27.0,TOR,PG,79,79.0,2862.0,20.1,0.567,0.463,0.356,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,8.4,3.3,11.7,0.197,4.1,0.6,4.7,4.8
2015,NBA,Kyle Lowry,lowryky01,28.0,TOR,PG,70,70.0,2414.0,19.3,0.527,0.375,0.299,2.6,13.1,7.8,32.4,2.3,0.4,12.8,25.4,5.1,2.0,7.1,0.141,3.2,-0.1,3.0,3.1
2016,NBA,Kyle Lowry,lowryky01,29.0,TOR,PG,77,77.0,2851.0,22.2,0.578,0.457,0.41,2.2,12.3,7.3,29.9,2.9,1.0,13.7,26.1,8.0,3.7,11.6,0.196,4.7,1.1,5.8,5.7
2017,NBA,Kyle Lowry,lowryky01,30.0,TOR,PG,60,60.0,2244.0,22.9,0.623,0.51,0.398,2.4,12.0,7.2,29.9,2.0,0.7,13.8,24.9,7.8,2.3,10.1,0.216,5.8,0.4,6.1,4.6
2018,NBA,Kyle Lowry,lowryky01,31.0,TOR,PG,78,78.0,2510.0,19.5,0.598,0.631,0.276,3.0,16.1,9.7,30.9,1.7,0.6,14.7,21.7,7.0,3.1,10.2,0.194,4.7,0.5,5.2,4.5
2019,NBA,Kyle Lowry,lowryky01,32.0,TOR,PG,65,65.0,2213.0,16.5,0.562,0.613,0.263,2.1,12.9,7.6,34.8,2.0,1.2,18.1,19.6,3.6,3.0,6.6,0.144,1.7,0.6,2.3,2.4
2020,NBA,Kyle Lowry,lowryky01,33.0,TOR,PG,58,58.0,2098.0,17.7,0.59,0.58,0.427,1.6,12.8,7.3,30.6,1.9,1.2,15.7,23.1,4.2,3.3,7.5,0.171,2.2,1.0,3.2,2.8
2021,NBA,Kyle Lowry,lowryky01,34.0,TOR,PG,46,46.0,1601.0,16.5,0.593,0.555,0.268,2.3,15.1,8.5,31.8,1.4,0.9,15.9,21.4,2.9,1.3,4.1,0.124,2.0,-0.4,1.6,1.5
2022,NBA,Kyle Lowry,lowryky01,35.0,MIA,PG,63,63.0,2133.0,15.0,0.6,0.609,0.278,1.8,13.0,7.5,32.3,1.6,0.8,19.3,18.2,3.7,2.7,6.4,0.143,1.1,0.8,2.0,2.1
2023,NBA,Kyle Lowry,lowryky01,36.0,MIA,PG,55,44.0,1718.0,12.6,0.565,0.639,0.278,2.8,12.9,7.7,23.4,1.7,1.2,15.9,16.7,1.5,1.9,3.4,0.096,-0.7,0.8,0.2,0.9
2024,NBA,Kyle Lowry,lowryky01,37.0,2TM,PG,60,55.0,1690.0,10.9,0.594,0.663,0.199,2.2,10.8,6.4,20.1,1.7,1.2,17.2,12.9,1.6,1.9,3.5,0.1,-1.9,0.9,-1.0,0.4
2025,NBA,Kyle Lowry,lowryky01,38.0,PHI,PG,35,12.0,659.0,9.8,0.525,0.752,0.282,1.8,10.0,5.8,19.2,2.5,1.6,13.8,10.1,0.6,0.4,1.0,0.07,-2.8,1.5,-1.3,0.1
2019,NBA,Jordan Loyd,loydjo01,25.0,TOR,PG,12,0.0,55.0,16.3,0.635,0.444,0.611,2.0,15.3,8.8,15.1,0.0,0.0,8.1,19.4,0.2,0.0,0.2,0.19,0.0,-0.9,-1.0,0.0
2006,NBA,John Lucas III,lucasjo02,23.0,HOU,PG,13,0.0,107.0,7.7,0.417,0.25,0.0,2.2,3.2,2.7,20.3,2.5,0.0,16.3,19.2,-0.2,0.1,-0.1,-0.027,-3.8,-0.5,-4.4,-0.1
2007,NBA,John Lucas III,lucasjo02,24.0,HOU,PG,47,0.0,383.0,11.8,0.468,0.378,0.122,2.7,8.1,5.4,15.1,2.3,0.0,8.4,21.8,0.0,0.6,0.6,0.081,-2.8,1.4,-1.4,0.1
2011,NBA,John Lucas III,lucasjo02,28.0,CHI,PG,2,0.0,10.0,-0.1,0.258,0.333,0.667,0.0,0.0,0.0,15.0,0.0,0.0,0.0,17.8,0.0,0.0,0.0,-0.121,-6.3,-3.3,-9.6,0.0
2012,NBA,John Lucas III,lucasjo02,29.0,CHI,PG,49,2.0,726.0,16.3,0.496,0.391,0.089,3.4,8.1,5.8,25.8,1.4,0.1,10.1,26.0,1.2,1.0,2.2,0.143,2.9,0.0,2.9,0.9
2013,NBA,John Lucas III,lucasjo02,30.0,TOR,PG,63,0.0,827.0,12.8,0.483,0.452,0.075,1.1,8.3,4.7,21.5,1.5,0.1,7.0,20.8,0.7,0.3,1.1,0.061,0.6,-1.2,-0.6,0.3
2014,NBA,John Lucas III,lucasjo02,31.0,UTA,PG,42,6.0,591.0,5.2,0.403,0.442,0.084,2.3,5.4,3.8,11.1,1.2,0.0,10.0,17.0,-0.7,0.0,-0.7,-0.058,-4.1,-1.7,-5.9,-0.6
2015,NBA,John Lucas III,lucasjo02,32.0,DET,PG,21,0.0,272.0,13.0,0.461,0.279,0.048,1.5,5.0,3.2,36.0,1.5,0.0,13.1,19.9,0.2,0.1,0.3,0.058,-0.2,-2.0,-2.2,0.0
