season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2025,NBA,Deni Avdija,avdijde01,24.0,POR,SF,72,54.0,2161,6.7,14.1,0.476,2.1,5.7,0.365,4.6,8.4,0.552,0.55,4.8,6.2,0.78,1.8,6.9,8.7,4.7,1.2,0.6,3.3,2.8,20.3
2022,NBA,Joel Ayayi,ayayijo01,21.0,WAS,SG,7,0.0,20,1.8,10.8,0.167,0.0,1.8,0.0,1.8,9.0,0.2,0.167,0.0,0.0,,1.8,3.6,5.4,7.2,0.0,0.0,0.0,0.0,3.6
2012,NBA,Gustavo Ayón,ayongu01,26.0,NOH,PF,54,24.0,1088,4.6,8.6,0.536,0.0,0.0,0.0,4.6,8.6,0.538,0.536,1.3,2.1,0.619,2.8,5.9,8.8,2.4,1.8,1.5,1.5,3.9,10.6
2013,NBA,Gustavo Ayón,ayongu01,27.0,2TM,C,55,3.0,734,4.5,8.2,0.551,0.0,0.0,,4.5,8.2,0.551,0.551,1.0,2.5,0.4,2.9,6.8,9.8,3.5,1.1,0.8,2.3,5.2,10.0
2014,NBA,Gustavo Ayón,ayongu01,28.0,ATL,C,26,14.0,429,4.4,8.6,0.51,0.0,0.0,,4.4,8.6,0.51,0.51,0.7,1.7,0.4,3.5,7.0,10.5,2.3,2.1,0.8,2.4,3.9,9.4
2019,NBA,Deandre Ayton,aytonde01,20.0,PHO,C,71,70.0,2183,8.4,14.3,0.585,0.0,0.1,0.0,8.4,14.3,0.588,0.585,2.3,3.1,0.746,3.7,8.3,12.0,2.1,1.0,1.1,2.1,3.4,19.1
2020,NBA,Deandre Ayton,aytonde01,21.0,PHO,C,38,32.0,1236,9.0,16.5,0.546,0.1,0.4,0.231,8.9,16.2,0.553,0.548,2.0,2.6,0.753,4.3,8.4,12.7,2.1,0.8,1.7,2.3,3.4,20.1
2021,NBA,Deandre Ayton,aytonde01,22.0,PHO,C,69,69.0,2115,7.3,11.7,0.626,0.1,0.3,0.2,7.3,11.4,0.639,0.629,2.3,2.9,0.769,3.9,8.5,12.4,1.7,0.7,1.4,1.8,3.3,17.0
2022,NBA,Deandre Ayton,aytonde01,23.0,PHO,C,58,58.0,1713,9.3,14.6,0.634,0.1,0.4,0.368,9.1,14.2,0.642,0.639,2.2,3.0,0.746,3.1,9.3,12.5,1.8,0.8,0.8,1.9,3.0,21.0
2023,NBA,Deandre Ayton,aytonde01,24.0,PHO,C,67,67.0,2035,9.2,15.7,0.589,0.1,0.4,0.292,9.1,15.3,0.597,0.592,2.7,3.5,0.76,3.0,8.8,11.8,2.0,0.7,0.9,2.1,3.4,21.3
2024,NBA,Deandre Ayton,aytonde01,25.0,POR,C,55,55.0,1784,8.6,15.1,0.57,0.0,0.2,0.1,8.6,14.9,0.576,0.571,1.3,1.6,0.823,3.6,8.7,12.3,1.8,1.1,0.8,2.0,2.2,18.6
